loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000.0,8200000.0,29400000.0,5000000.0, Rejected
6,0, Graduate, Yes,4800000,13500000,10,319,6800000.0,8300000.0,13700000.0,5100000.0, Rejected
7,5, Graduate, No,8700000,33000000,4,678,22500000.0,14800000.0,29200000.0,4300000.0, Approved
9,0, Graduate, Yes,800000,2200000,20,782,1300000.0,800000.0,2800000.0,600000.0, Approved
12,2, Not Graduate, Yes,6700000,22700000,18,538,15300000.0,5800000.0,20400000.0,6400000.0, Rejected
13,3, Not Graduate, Yes,5000000,11600000,16,311,6400000.0,9600000.0,14600000.0,4300000.0, Rejected
14,2, Graduate, Yes,9100000,31500000,14,679,10800000.0,16600000.0,20900000.0,5000000.0, Approved
17,2, Graduate, Yes,500000,1600000,4,663,1300000.0,100000.0,1300000.0,700000.0, Approved
20,5, Graduate, No,6300000,14600000,12,652,10300000.0,3500000.0,23500000.0,5900000.0, Approved
21,2, Graduate, No,5000000,19400000,12,315,9500000.0,1600000.0,18000000.0,6100000.0, Rejected
22,4, Graduate, No,5800000,14000000,16,530,3800000.0,11300000.0,22200000.0,5400000.0, Rejected
23,4, Graduate, Yes,6500000,25700000,18,311,13100000.0,1700000.0,19500000.0,8500000.0, Rejected
25,0, Not Graduate, No,4900000,9800000,16,324,3800000.0,8700000.0,10000000.0,3300000.0, Rejected
26,5, Not Graduate, No,3100000,9500000,20,514,7900000.0,3100000.0,6600000.0,2600000.0, Rejected
27,4, Graduate, No,8200000,28100000,12,696,11500000.0,10600000.0,25300000.0,7200000.0, Approved
29,5, Not Graduate, Yes,7000000,24000000,6,336,2300000.0,11900000.0,27500000.0,9700000.0, Rejected
31,2, Not Graduate, No,9800000,25300000,12,313,20200000.0,5200000.0,25500000.0,9300000.0, Rejected
32,2, Graduate, No,5700000,12000000,6,363,3600000.0,7400000.0,21700000.0,4300000.0, Rejected
33,1, Not Graduate, Yes,800000,1600000,10,436,700000.0,200000.0,2200000.0,1000000.0, Rejected
35,3, Graduate, No,4900000,11900000,8,612,9700000.0,1200000.0,19000000.0,5800000.0, Approved
38,5, Graduate, Yes,8000000,27200000,6,348,6400000.0,300000.0,16700000.0,7100000.0, Rejected
39,5, Graduate, No,3600000,7700000,16,830,7000000.0,1300000.0,10000000.0,2900000.0, Approved
42,2, Not Graduate, No,9100000,24900000,16,822,22300000.0,12100000.0,31000000.0,5200000.0, Approved
43,3, Graduate, No,1400000,3400000,6,540,200000.0,1500000.0,3900000.0,800000.0, Rejected
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000.0,6900000.0,8700000.0,4900000.0, Approved
48,1, Graduate, Yes,4900000,19100000,14,677,5400000.0,9100000.0,17700000.0,6500000.0, Approved
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000.0,10500000.0,37700000.0,11700000.0, Approved
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000.0,14800000.0,31900000.0,8200000.0, Approved
56,5, Not Graduate, No,6700000,24500000,12,818,1200000.0,5600000.0,16300000.0,6200000.0, Approved
58,5, Graduate, Yes,9300000,30500000,18,841,19300000.0,10300000.0,34600000.0,8700000.0, Approved
60,4, Not Graduate, Yes,5500000,18200000,16,797,-100000.0,4900000.0,18600000.0,4800000.0, Approved
61,2, Not Graduate, No,8500000,18900000,18,478,23800000.0,16300000.0,25900000.0,11400000.0, Rejected
62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000.0,1900000.0,26500000.0,9300000.0, Approved
63,5, Not Graduate, Yes,8800000,28900000,6,365,24400000.0,8600000.0,27400000.0,4700000.0, Rejected
64,3, Not Graduate, Yes,3300000,7500000,20,586,1600000.0,5600000.0,10500000.0,2900000.0, Approved
67,3, Not Graduate, No,8300000,29100000,10,715,6100000.0,11900000.0,24100000.0,11900000.0, Approved
69,4, Graduate, No,5600000,12400000,4,777,5500000.0,3100000.0,11800000.0,5500000.0, Approved
70,0, Graduate, No,1900000,5000000,12,312,4000000.0,2800000.0,4900000.0,2400000.0, Rejected
73,5, Not Graduate, No,7000000,18300000,4,418,18400000.0,11700000.0,21500000.0,7600000.0, Rejected
74,3, Not Graduate, Yes,5800000,16700000,16,735,3900000.0,9400000.0,12600000.0,5600000.0, Approved
75,2, Not Graduate, No,2600000,8400000,6,494,6500000.0,3800000.0,5600000.0,2000000.0, Rejected
78,0, Graduate, No,9000000,33500000,8,801,11600000.0,8900000.0,35400000.0,11100000.0, Approved
79,2, Not Graduate, No,8500000,29400000,12,576,17600000.0,5600000.0,25200000.0,9000000.0, Approved
81,4, Graduate, No,3500000,8900000,4,470,1300000.0,2200000.0,12300000.0,2000000.0, Rejected
83,2, Not Graduate, Yes,9900000,21200000,16,363,25500000.0,11400000.0,26600000.0,6800000.0, Rejected
84,3, Graduate, No,3600000,8600000,20,613,9400000.0,300000.0,10300000.0,3300000.0, Approved
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000.0,1200000.0,3800000.0,1600000.0, Rejected
89,4, Graduate, Yes,2000000,8000000,6,837,5100000.0,2600000.0,3900000.0,2900000.0, Approved
90,2, Not Graduate, No,9800000,37600000,10,641,24100000.0,0.0,23400000.0,7600000.0, Approved
92,4, Graduate, No,8800000,20700000,18,540,19200000.0,3200000.0,22400000.0,12700000.0, Rejected
93,4, Graduate, No,3800000,8900000,4,844,9100000.0,3500000.0,13100000.0,4700000.0, Approved
97,2, Graduate, Yes,6600000,15000000,18,470,1200000.0,4800000.0,18200000.0,7000000.0, Rejected
98,2, Not Graduate, No,8700000,25000000,20,861,14700000.0,8500000.0,23200000.0,7300000.0, Approved
101,4, Not Graduate, No,400000,900000,12,478,700000.0,100000.0,1200000.0,100000.0, Rejected
102,2, Not Graduate, Yes,300000,1100000,2,702,300000.0,200000.0,500000.0,200000.0, Approved
104,4, Graduate, No,1600000,4500000,12,633,700000.0,1700000.0,4100000.0,1900000.0, Approved
108,0, Graduate, No,2700000,10600000,6,591,1300000.0,2700000.0,9900000.0,1800000.0, Approved
109,1, Graduate, Yes,9700000,35900000,2,719,19600000.0,7600000.0,20400000.0,10900000.0, Approved
111,0, Not Graduate, No,300000,1100000,8,778,800000.0,200000.0,900000.0,100000.0, Approved
112,3, Graduate, Yes,7400000,18200000,14,302,5600000.0,3100000.0,17900000.0,5000000.0, Rejected
113,5, Not Graduate, No,7100000,19700000,8,502,7300000.0,5600000.0,25300000.0,9800000.0, Rejected
115,1, Not Graduate, No,8400000,23400000,14,437,15400000.0,5800000.0,33400000.0,8100000.0, Rejected
116,0, Not Graduate, Yes,3300000,10800000,12,797,600000.0,6000000.0,7700000.0,3300000.0, Approved
119,0, Not Graduate, No,7200000,15800000,12,379,12700000.0,12200000.0,21500000.0,3600000.0, Rejected
121,5, Graduate, No,900000,2300000,16,545,100000.0,200000.0,2700000.0,800000.0, Rejected
122,2, Graduate, No,800000,3200000,8,317,300000.0,1000000.0,2000000.0,900000.0, Rejected
123,1, Not Graduate, No,8500000,32900000,10,570,5100000.0,6200000.0,20500000.0,5500000.0, Approved
125,3, Graduate, No,7000000,19500000,14,719,12200000.0,10300000.0,18200000.0,10200000.0, Approved
126,3, Graduate, No,200000,600000,16,821,400000.0,100000.0,500000.0,100000.0, Approved
127,4, Not Graduate, Yes,400000,800000,10,859,900000.0,500000.0,800000.0,200000.0, Approved
128,3, Not Graduate, No,5100000,18200000,10,395,100000.0,8000000.0,15500000.0,6300000.0, Rejected
129,2, Not Graduate, Yes,700000,2600000,12,429,1600000.0,1300000.0,2700000.0,800000.0, Rejected
130,3, Graduate, No,400000,1200000,12,861,200000.0,600000.0,1100000.0,200000.0, Approved
131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000.0,11900000.0,33900000.0,13400000.0, Approved
